RELY,DATA,CPLX,TIME,STOR,VIRT,TURN,ACAP,AEXP,PCAP,VEXP,LEXP,MODP,TOOL,SCED,LOC
Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,Nominal,High,High,Nominal,Nominal,Nominal,Nominal,Nominal,10
Nominal,Very_High,High,Very_High,Very_High,Low,High,Very_High,High,Nominal,Low,High,Very_High,Very_High,Low,161.1
Nominal,Very_High,High,Very_High,Very_High,Low,High,Very_High,High,Nominal,Low,High,Very_High,Very_High,Low,48.5
Nominal,Very_High,High,Very_High,Very_High,Low,High,Very_High,High,Nominal,Low,High,Very_High,Very_High,Low,32.6
Nominal,Very_High,High,Very_High,Very_High,Low,High,Very_High,High,Nominal,Low,High,Very_High,Very_High,Low,12.8
Nominal,Very_High,High,Very_High,Very_High,Low,High,Very_High,High,Nominal,Low,High,Very_High,Very_High,Low,15.4
Nominal,Very_High,High,Very_High,Very_High,Low,High,Very_High,High,Nominal,Low,High,Very_High,Very_High,Low,16.3
Nominal,Very_High,High,Very_High,Very_High,Low,High,Very_High,High,Nominal,Low,High,Very_High,Very_High,Low,35.5
High,Low,High,Nominal,Nominal,Low,Low,Nominal,Nominal,Nominal,Nominal,High,High,Nominal,Low,25.9
High,Low,High,Nominal,Nominal,Low,Low,Nominal,Nominal,Nominal,Nominal,High,High,Nominal,Low,24.6
High,Low,High,Nominal,Nominal,Low,Low,Nominal,Nominal,Nominal,Nominal,High,High,Nominal,Low,7.7
High,Low,High,Nominal,Nominal,Low,Low,Nominal,Nominal,Nominal,Nominal,High,High,Nominal,Low,9.7
High,Low,High,Nominal,Nominal,Low,Low,Nominal,Nominal,Nominal,Nominal,High,High,Nominal,Low,2.2
High,Low,High,Nominal,Nominal,Low,Low,Nominal,Nominal,Nominal,Nominal,High,High,Nominal,Low,3.5
High,Low,High,Nominal,Nominal,Low,Low,Nominal,Nominal,Nominal,Nominal,High,High,Nominal,Low,8.2
High,Low,High,Nominal,Nominal,Low,Low,Nominal,Nominal,Nominal,Nominal,High,High,Nominal,Low,66.6
Nominal,Low,High,Nominal,Extra_High,Low,Low,High,Very_High,Very_High,Nominal,High,Nominal,Nominal,Nominal,150
Nominal,Low,High,Nominal,Nominal,Low,Low,High,Nominal,Nominal,Nominal,Very_Low,Nominal,Nominal,Nominal,100
Nominal,Low,High,Nominal,Nominal,High,Low,High,High,High,Low,Very_Low,Nominal,Nominal,Nominal,100
Nominal,Low,High,Nominal,Nominal,Low,Low,High,Very_High,Very_High,Nominal,High,Nominal,Nominal,Nominal,100
Nominal,Low,High,Nominal,Nominal,Low,Low,High,Very_High,High,Nominal,High,Nominal,Nominal,Nominal,15
Nominal,Low,High,Nominal,Extra_High,Low,Low,High,High,Nominal,Nominal,High,Nominal,Nominal,Nominal,32.5
Nominal,Low,High,Nominal,Nominal,Low,Low,High,High,High,Nominal,High,Nominal,Nominal,Nominal,31.5
Nominal,Low,High,Nominal,Nominal,Low,Low,High,Very_High,High,Nominal,High,Nominal,Nominal,Nominal,6
Nominal,Low,High,Nominal,Nominal,Low,Low,High,Very_High,Nominal,Nominal,Low,Nominal,Nominal,Nominal,11.3
Nominal,Low,High,Nominal,Nominal,Low,Low,High,Very_High,Very_High,Nominal,High,Nominal,Nominal,Nominal,20
Nominal,Low,High,Nominal,Nominal,Low,Low,High,Very_High,High,Nominal,High,Nominal,Nominal,Nominal,20
High,Low,High,Extra_High,Extra_High,Low,High,High,High,High,Nominal,High,High,High,Nominal,7.5
High,Low,High,Nominal,Nominal,Low,Low,Nominal,Nominal,High,Nominal,Nominal,High,Very_Low,Nominal,302
High,Nominal,High,High,High,Low,High,Nominal,High,Nominal,Nominal,Nominal,Low,Very_High,Nominal,370
High,Nominal,High,High,High,Low,High,Nominal,High,Nominal,Nominal,Nominal,Low,Very_High,Nominal,219
High,Nominal,High,High,High,Low,High,Nominal,High,Nominal,Nominal,Nominal,Low,Very_High,Nominal,50
High,Nominal,Very_High,High,High,Low,High,High,Nominal,Nominal,High,High,Low,Very_High,High,101
Nominal,Nominal,Nominal,Nominal,Nominal,Low,Nominal,High,Very_High,Very_High,Low,High,High,Nominal,Nominal,190
Nominal,Nominal,High,Nominal,High,Nominal,Nominal,High,High,Nominal,Nominal,High,High,Nominal,High,47.5
Very_High,Nominal,Extra_High,High,High,Low,Low,Nominal,High,Nominal,Nominal,Nominal,Low,High,Nominal,21
Low,Nominal,Nominal,Nominal,Nominal,Low,Low,High,High,Very_High,Nominal,High,Low,Low,High,423
High,High,Nominal,Nominal,Nominal,Low,Low,Nominal,High,High,Nominal,High,Nominal,Nominal,Nominal,79
High,High,Low,Nominal,Nominal,Nominal,High,High,High,Nominal,Nominal,Nominal,High,Nominal,Nominal,284.7
Nominal,High,Low,Nominal,Nominal,High,Nominal,High,High,Nominal,Nominal,Nominal,High,High,Nominal,282.1
Nominal,High,High,Very_High,Nominal,Nominal,High,High,High,High,Nominal,High,Low,Low,High,78
Nominal,High,High,Very_High,Nominal,Nominal,High,High,High,High,Nominal,High,Low,Low,High,11.4
Nominal,High,High,Very_High,Nominal,Nominal,High,High,High,High,Nominal,High,Low,Low,High,19.3
