vendor,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX
harris,300,384,12000,6,1,24
harris,300,192,768,6,6,24
harris,180,768,12000,6,1,31
honeywell,330,1000,3000,0,2,4
honeywell,300,1000,4000,8,3,64
honeywell,300,1000,16000,8,2,112
honeywell,330,1000,2000,0,1,2
honeywell,330,1000,4000,0,3,6
honeywell,140,2000,4000,0,3,6
honeywell,140,2000,4000,0,4,8
honeywell,140,2000,4000,8,1,20
honeywell,140,2000,32000,32,1,20
honeywell,140,2000,8000,32,1,54
honeywell,140,2000,32000,32,1,54
honeywell,140,2000,32000,32,1,54
honeywell,140,2000,4000,8,1,20
ibm,57,4000,16000,1,6,12
ibm,57,4000,24000,64,12,16
ibm,26,16000,32000,64,16,24
ibm,26,16000,32000,64,8,24
ibm,26,8000,32000,0,8,24
ibm,26,8000,16000,0,8,16
ibm,480,96,512,0,1,1
ibm,203,1000,2000,0,1,5
ibm,115,512,6000,16,1,6
ibm,1100,512,1500,0,1,1
ibm,1100,768,2000,0,1,1
ibm,600,768,2000,0,1,1
ibm,400,2000,4000,0,1,1
ibm,400,4000,8000,0,1,1
ibm,900,1000,1000,0,1,2
ibm,900,512,1000,0,1,2
ibm,900,1000,4000,4,1,2
ibm,900,1000,4000,8,1,2
ibm,900,2000,4000,0,3,6
ibm,225,2000,4000,8,3,6
ibm,225,2000,4000,8,3,6
ibm,180,2000,8000,8,1,6
ibm,185,2000,16000,16,1,6
ibm,180,2000,16000,16,1,6
ibm,225,1000,4000,2,3,6
ibm,25,2000,12000,8,1,4
ibm,25,2000,12000,16,3,5
ibm,17,4000,16000,8,6,12
ibm,17,4000,16000,32,6,12
ibm,1500,768,1000,0,0,0
ibm,1500,768,2000,0,0,0
ibm,800,768,2000,0,0,0
ipl,50,2000,4000,0,3,6
ipl,50,2000,8000,8,3,6
ipl,50,2000,8000,8,1,6
ipl,50,2000,16000,24,1,6
ipl,50,2000,16000,24,1,6
ipl,50,8000,16000,48,1,10
magnuson,100,1000,8000,0,2,6
magnuson,100,1000,8000,24,2,6
magnuson,100,1000,8000,24,3,6
magnuson,50,2000,16000,12,3,16
magnuson,50,2000,16000,24,6,16
magnuson,50,2000,16000,24,6,16
microdata,150,512,4000,0,8,128
nas,115,2000,8000,16,1,3
nas,115,2000,4000,2,1,5
nas,92,2000,8000,32,1,6
nas,92,2000,8000,32,1,6
nas,92,2000,8000,4,1,6
nas,75,4000,16000,16,1,6
nas,60,4000,16000,32,1,6
nas,60,2000,16000,64,5,8
nas,60,4000,16000,64,5,8
nas,50,4000,16000,64,5,10
nas,72,4000,16000,64,8,16
nas,72,2000,8000,16,6,8
nas,40,8000,16000,32,8,16
nas,40,8000,32000,64,8,24
nas,35,8000,32000,64,8,24
nas,38,16000,32000,128,16,32
nas,48,4000,24000,32,8,24
nas,38,8000,32000,64,8,24
nas,30,16000,32000,256,16,24
ncr,112,1000,1000,0,1,4
ncr,84,1000,2000,0,1,6
ncr,56,1000,4000,0,1,6
ncr,56,2000,6000,0,1,8
ncr,56,2000,8000,0,1,8
ncr,56,4000,8000,0,1,8
ncr,56,4000,12000,0,1,8
ncr,56,4000,16000,0,1,8
ncr,38,4000,8000,32,16,32
ncr,38,4000,8000,32,16,32
ncr,38,8000,16000,64,4,8
ncr,38,8000,24000,160,4,8
ncr,38,4000,16000,128,16,32
nixdorf,200,1000,2000,0,1,2
nixdorf,200,1000,4000,0,1,4
nixdorf,200,2000,8000,64,1,5
perkin-elmer,250,512,4000,0,1,7
perkin-elmer,250,512,4000,0,4,7
perkin-elmer,250,1000,16000,1,1,8
prime,160,512,4000,2,1,5
prime,160,512,2000,2,3,8
prime,160,1000,4000,8,1,14
prime,160,1000,8000,16,1,14
prime,160,2000,8000,32,1,13
siemens,240,512,1000,8,1,3
siemens,240,512,2000,8,1,5
siemens,105,2000,4000,8,3,8
siemens,105,2000,6000,16,6,16
siemens,105,2000,8000,16,4,14
siemens,52,4000,16000,32,4,12
siemens,70,4000,12000,8,6,8
siemens,59,4000,12000,32,6,12
siemens,59,8000,16000,64,12,24
siemens,26,8000,24000,32,8,16
siemens,26,8000,32000,64,12,16
siemens,26,8000,32000,128,24,32
sperry,116,2000,8000,32,5,28
sperry,50,2000,32000,24,6,26
sperry,50,2000,32000,48,26,52
sperry,50,2000,32000,112,52,104
sperry,50,4000,32000,112,52,104
sperry,30,8000,64000,96,12,176
sperry,30,8000,64000,128,12,176
sperry,180,262,4000,0,1,3
sperry,180,512,4000,0,1,3
sperry,180,262,4000,0,1,3
sperry,180,512,4000,0,1,3
sperry,124,1000,8000,0,1,8
sperry,98,1000,8000,32,2,8
sratus,125,2000,8000,0,2,14
wang,480,512,8000,32,0,0
wang,480,1000,4000,0,0,0
