Age,Sex,Income,Travel_cost,Access_road,Active,Passive,Logged_income
16,1,469,48.0003,0,0,0,6.150602768
44,1,781.25,403.8,0,0,0,6.660895201
43,1,,48,0,0,0,
40,0,937.5,170.4,0,0,0,6.843216758
21,0,175.88,48,0,1,0,5.169801944
22,0,1000,535.5,0,0,0,6.907755279
,0,1000,48,0,0,0,6.907755279
15,1,322.44,48,0,0,0,5.775917072
28,0,351.75,48,0,0,0,5.862920696
34,1,,48,0,2,2,
41,0,,303.6,0,0,1,
28,1,375,48.0003,0,2,1,5.926926026
25,0,2125,170.4,0,0,0,7.661527081
23,1,343.75,48.0003,0,2,2,5.839914649
40,1,625,48.0003,0,2,3,6.43775165
42,1,400,535.5,1,0,0,5.991464547
24,0,1000,303.6,0,0,0,6.907755279
31,0,1312.5,48.0003,0,2,1,7.179688994
19,0,1250,48.0003,0,1,0,7.13089883
20,1,312.5,48.0003,1,1,0,5.744604469
23,1,375,48.0003,0,1,2,5.926926026
41,0,375,239.1,0,2,1,5.926926026
49,1,187.5,48.0003,1,2,1,5.233778845
28,1,1093.75,82.2,0,2,1,6.997367438
31,1,937.5,125.4,0,1,2,6.843216758
22,1,625,48.0003,1,1,2,6.43775165
26,0,3000,48,0,2,1,8.006367568
55,1,1500,48.0003,1,1,1,7.313220387
16,1,,48.0003,0,3,2,
33,0,1093.75,48,1,1,1,6.997367438
28,1,,48.0003,0,6,3,
18,1,937.5,48.0003,1,1,1,6.843216758
24,1,58.63,48.0003,1,0,0,4.071246511
28,1,,87,0,0,1,
21,0,625,48.0003,0,1,0,6.43775165
18,0,,48.0003,1,5,3,
37,0,1250,60,0,3,0,7.13089883
20,1,117.25,48.0003,0,1,0,4.764308407
33,0,431.25,48.0003,1,1,1,6.066687968
28,0,2187.5,551.7,0,0,0,7.690514618
36,0,1250,48,1,2,0,7.13089883
18,0,117.25,48.0003,0,3,2,4.764308407
20,1,3125,48.0003,0,0,1,8.047189562
41,1,,48.0003,1,1,1,
19,1,,48,0,1,3,
49,1,781.25,170.4,0,0,0,6.660895201
29,1,1500,176.4,0,2,1,7.313220387
62,0,,48.0003,0,3,3,
35,0,718.75,138,0,1,2,6.577513592
42,1,375,48,1,0,0,5.926926026
20,0,265.63,48,0,1,2,5.582104363
36,1,562.5,48,0,2,2,6.332391134
38,1,1000,87,0,2,1,6.907755279
28,0,800,261.3,0,2,1,6.684611728
38,1,1250,48.0003,0,1,1,7.13089883
17,1,2500,48.0003,0,2,1,7.824046011
24,0,203.13,177.9,1,2,2,5.313846168
50,0,,,0,0,0,
43,0,1718.75,161.7,0,0,0,7.449352561
19,1,,52.2,0,1,2,
32,1,750,48.0003,0,0,2,6.620073207
25,1,625,52.2,0,1,2,6.43775165
24,1,1562.5,48,1,3,2,7.354042382
48,4,3500,48,0,1,2,8.160518247
44,0,2500,48.0003,0,2,2,7.824046011
36,1,1562.5,48.0003,0,2,2,7.354042382
36,1,1093.75,158.4,0,1,3,6.997367438
26,0,968.75,48.0003,0,2,2,6.876006581
37,0,1562.5,48,1,0,0,7.354042382
38,0,781.25,170.4,0,0,0,6.660895201
35,1,1031.25,403.8,0,0,0,6.938526938
59,0,625,48,1,2,1,6.43775165
17,1,1562.5,48.0003,1,2,2,7.354042382
43,1,2500,48,0,0,0,7.824046011
48,1,1875,48.0003,0,3,1,7.536363938
23,1,562.5,48,0,0,0,6.332391134
28,0,781.25,48.0003,0,2,0,6.660895201
20,0,,48.0003,0,4,1,
42,0,1250,25.2,0,2,0,7.13089883
36,0,222.7722772,48.0003,0,1,1,5.406150071
22,0,297.029703,48.0003,0,0,0,5.693832144
33,0,445.5445545,21,1,0,1,6.099297252
19,1,1980.19802,48.0003,0,0,1,7.590952129
25,1,866.3366337,45,0,0,0,6.764273556
23,0,,48.0003,1,0,0,
34,0,1406.25,48,1,1,3,7.248681866
28,0,1562.5,82.2,1,2,3,7.354042382
48,1,2187.5,170.4,0,0,1,7.690514618
42,0,656.25,420.9,0,2,0,6.486541814
21,0,187.5,48.0003,0,3,1,5.233778845
32,1,,176.4,0,2,2,
18,0,375,48.0003,0,3,2,5.926926026
31,0,468.75,60,0,2,2,6.150069577
43,0,468.75,60,0,1,1,6.150069577
17,0,,190.8,0,1,0,
43,0,937.5,48.0003,0,1,2,6.843216758
20,0,1562.5,48.0003,0,3,1,7.354042382
35,1,2812.5,197.4,0,2,3,7.941829047
28,0,1250,48,0,2,1,7.13089883
29,1,156.25,48.0003,0,2,1,5.051457289
69,0,500,48.0003,0,1,1,6.214608098
46,0,2500,48.0003,0,0,0,7.824046011
32,1,2000,48.0003,0,0,0,7.60090246
64,0,1250,48.0003,1,0,0,7.13089883
53,0,250,48,0,0,0,5.521460918
28,0,312.5,48.0003,0,0,0,5.744604469
19,0,1562.5,82.2,0,1,1,7.354042382
30,0,312.5,48.0003,0,1,1,5.744604469
23,1,625,190.8,0,1,1,6.43775165
22,1,117.25,29.4,1,0,0,4.764308407
18,0,175.88,29.4,0,0,0,5.169801944
53,0,312.5,29.4,0,0,0,5.744604469
29,1,586.25,29.4,1,1,2,6.37374632
32,1,875,48,0,2,0,6.774223886
47,0,1406.25,170.4,0,2,0,7.248681866
54,0,218.75,52.2,0,0,0,5.387929525
29,0,117.25,48.0003,0,2,1,4.764308407
26,1,312.5,48.0003,0,0,0,5.744604469
36,0,,48.0003,0,0,1,
17,1,2500,176.4,0,2,1,7.824046011
35,1,3125,161.7,0,1,1,8.047189562
27,1,700,595.2,0,2,1,6.551080335
32,0,700,190.8,0,0,0,6.551080335
66,0,265.63,48.0003,0,0,1,5.582104363
53,1,156.25,29.4,1,0,0,5.051457289
31,1,312.5,48.0003,0,1,0,5.744604469
28,0,,48.0003,0,1,0,
17,0,156.25,48.0003,0,3,2,5.051457289
37,0,1562.5,48,0,3,1,7.354042382
21,0,1172.5,48.0003,0,2,2,7.0668935
38,0,900,170.4,0,2,2,6.802394763
32,1,1000,161.7,0,3,4,6.907755279
22,1,2812.5,52.2,0,4,3,7.941829047
27,1,1250,170.4,0,2,3,7.13089883
32,1,781.25,176.4,0,2,2,6.660895201
25,1,1406.25,303.6,0,2,3,7.248681866
21,1,562.5,48.0003,0,3,1,6.332391134
49,0,843.75,48.0003,0,2,2,6.737856242
55,0,3125,595.2,1,2,2,8.047189562
19,0,437.5,48.0003,0,2,1,6.081076706
20,1,1732.673267,48.0003,0,1,1,7.457420736
26,0,625,48.0003,0,2,2,6.43775165
20,1,,48.0003,0,4,2,
23,0,140.625,48.0003,0,3,2,4.946096773
19,1,,48.0003,0,,3,
19,1,1250,48.0003,0,2,2,7.13089883
47,0,,161.7,0,4,3,
25,0,1875,48.0003,0,5,3,7.536363938
21,1,937.5,48.0003,0,5,2,6.843216758
36,1,4687.5,170.4,0,1,2,8.45265467
45,0,1187.5,203.7,0,0,3,7.079605536
47,0,625,21,0,4,2,6.43775165
13,0,625,48.0003,0,3,2,6.43775165
32,0,187.5,48.0003,0,0,2,5.233778845
27,1,562.5,48.0003,0,4,3,6.332391134
35,1,1250,48.0003,0,3,2,7.13089883
24,1,1250,48.0003,0,4,3,7.13089883
30,0,562.5,82.2,0,1,0,6.332391134
28,0,1250,48.0003,0,0,0,7.13089883
38,0,1500,48.0003,0,1,0,7.313220387
22,0,1093.75,48.0003,0,5,0,6.997367438
35,0,2000,48,0,4,4,7.60090246
22,0,937.5,48.0003,0,5,2,6.843216758
27,1,93.75,48.0003,0,4,3,4.540631665
21,0,625,21,0,1,0,6.43775165
28,0,625,21,0,0,0,6.43775165
24,0,3125,48.0003,0,2,1,8.047189562
22,0,187.5,48.0003,0,6,1,5.233778845
24,0,256.63,82.2,0,0,0,5.547635359
66,0,937.5,29.4,0,0,0,6.843216758
