make,carID,carID_and_Year,Chest_decel,L_Leg,R_Leg,D_P,Protection,Doors,Year,Wt,Size
Chevrolet,Chevrolet_Cavalier,Chevrolet_Cavalier_90,49,775,531,Driver,passive_belts,4,90,2540,comp
Chevrolet,Chevrolet_Corsica,Chevrolet_Corsica_88,44,1293,737,Driver,manual_belts,4,88,2750,comp
Chevrolet,Chevrolet_Corsica,Chevrolet_Corsica_91,41,1171,550,Driver,d_airbag,4,91,2830,comp
Chevrolet,Chevrolet_C-1500,Chevrolet_C-1500_88,47,942,622,Driver,manual_belts,,88,3680,pu
Chevrolet,Chevrolet_G-20_Beauville,Chevrolet_G-20_Beauville_87,67,1298,,Driver,manual_belts,,87,4887,van
Chevrolet,Chevrolet_G-20,Chevrolet_G-20_88,97,1330,963,Driver,manual_belts,,88,4244,van
Chevrolet,Chevrolet_Lumina,Chevrolet_Lumina_90,58,782,,Driver,passive_belts,4,90,3155,med
Chevrolet,Chevrolet_Suburban,Chevrolet_Suburban_87,50,1911,257,Driver,manual_belts,4,87,5619,mpv
Chevrolet,Chevrolet_S-10_Blazer_4X4,Chevrolet_S-10_Blazer_4X4_89,62,,,Driver,manual_belts,2,89,3518,mpv
Chevrolet,Chevrolet_S-10_Blazer_4X4,Chevrolet_S-10_Blazer_4X4_90,74,1539,985,Driver,manual_belts,2,90,3720,mpv
Chevrolet,Chevrolet_S-10_Blazer_4X4,Chevrolet_S-10_Blazer_4X4_91,71,2626,593,Driver,manual_belts,4,91,3820,mpv
Chevrolet,Chevrolet_S-10_Pickup,Chevrolet_S-10_Pickup_87,58,1441,1108,Driver,manual_belts,,87,2592,pu
Chevrolet,Chevrolet_S-10_Pickup_4x4,Chevrolet_S-10_Pickup_4x4_90,66,2234,643,Driver,manual_belts,,90,3360,pu
Chrysler,Chrysler_Fifth_Ave,Chrysler_Fifth_Ave_89,43,1132,667,Driver,d_airbag,4,89,3820,hev
Chrysler,Chrysler_Imperial,Chrysler_Imperial_90,43,767,979,Driver,d_airbag,4,90,3540,hev
Chrysler,Chrysler_Le_Baron,Chrysler_Le_Baron_87,62,1008,1776,Driver,passive_belts,2,87,2870,comp
Chrysler,Chrysler_Le_Baron,Chrysler_Le_Baron_90,40,332,611,Driver,d_airbag,2,90,3000,med
Chrysler,Chrysler_New_Yorker,Chrysler_New_Yorker_88,55,730,1102,Driver,manual_belts,4,88,3190,med
Chrysler,Chrysler_New_Yorker,Chrysler_New_Yorker_91,55,710,959,Driver,d_airbag,4,91,3310,med
Daihatsu,Daihatsu_Charade,Daihatsu_Charade_88,43,574,598,Driver,manual_belts,2,88,1820,mini
Dodge,Dodge_colt,Dodge_colt_88,53,844,461,Driver,manual_belts,4,88,2348,lt
Dodge,Dodge_D-150,Dodge_D-150_88,40,1481,361,Driver,manual_belts,,88,3550,pu
Dodge,Dodge_Dakota,Dodge_Dakota_87,44,324,442,Driver,manual_belts,,87,3010,pu
Dodge,Dodge_Dakota_4x4,Dodge_Dakota_4x4_90,57,575,502,Driver,manual_belts,,90,3740,pu
Dodge,Dodge_Daytona,Dodge_Daytona_89,39,729,908,Driver,d_airbag,2,89,2790,comp
Dodge,Dodge_Shadow,Dodge_Shadow_87,49,1003,529,Driver,manual_belts,2,87,2550,comp
Dodge,Dodge_Shadow,Dodge_Shadow_91,42,1234,647,Driver,d_airbag,4,91,2730,comp
Dodge,Dodge_Spirit,Dodge_Spirit_89,47,672,772,Driver,manual_belts,4,89,2840,comp
Eagle,Eagle_Medallion,Eagle_Medallion_89,41,1721,1574,Driver,Motorized_belts,4,89,2740,comp
Eagle,Eagle_Premier,Eagle_Premier_89,46,742,765,Driver,manual_belts,4,89,3060,med
Ford,Ford_Aerostar,Ford_Aerostar_87,49,286,590,Driver,manual_belts,,87,3013,van
Ford,Ford_Bronco_II_4x4,Ford_Bronco_II_4x4_89,58,267,428,Driver,manual_belts,2,89,3485,mpv
Ford,Ford_Club_Wagon,Ford_Club_Wagon_90,59,1526,688,Driver,manual_belts,,90,5103,van
Ford,Ford_Escort,Ford_Escort_87,42,1146,465,Driver,passive_belts,2,87,2280,lt
Ford,Ford_Escort,Ford_Escort_91,42,1403,2152,Driver,Motorized_belts,2,91,2336,lt
Ford,Ford_Explorer_4x4,Ford_Explorer_4x4_91,52,486,617,Driver,manual_belts,4,91,4212,mpv
Ford,Ford_F-150,Ford_F-150_88,56,1024,644,Driver,manual_belts,,88,3757,pu
Ford,Ford_Festiva,Ford_Festiva_88,52,976,747,Driver,manual_belts,2,88,1760,mini
Ford,Ford_Mustang_LX,Ford_Mustang_LX_87,42,580,921,Driver,manual_belts,2,87,2868,comp
Ford,Ford_Mustang,Ford_Mustang_90,42,1353,1063,Driver,d_airbag,2,90,3445,med
Ford,Ford_Probe,Ford_Probe_89,46,691,579,Driver,manual_belts,2,89,2650,comp
Ford,Ford_Probe,Ford_Probe_91,42,1051,1501,Driver,Motorized_belts,2,91,2810,comp
Ford,Ford_Ranger,Ford_Ranger_87,52,739,344,Driver,manual_belts,,87,2668,pu
Ford,Ford_Ranger_4x4,Ford_Ranger_4x4_90,61,572,392,Driver,manual_belts,,90,3533,pu
Ford,Ford_Taurus,Ford_Taurus_88,38,,455,Driver,manual_belts,4,88,3140,med
Ford,Ford_Taurus,Ford_Taurus_90,46,1219,581,Driver,d_airbag,4,90,3080,med
Ford,Ford_Taurus,Ford_Taurus_91,44,1901,328,Driver,d_airbag,4,91,3290,med
Ford,Ford_Tempo,Ford_Tempo_88,47,1113,1037,Driver,passive_belts,4,88,2660,comp
Ford,Ford_T-Bird,Ford_T-Bird_89,44,1224,1264,Driver,Motorized_belts,2,89,3630,hev
Geo,Geo_Metro,Geo_Metro_89,,789,458,Driver,manual_belts,2,89,1590,mini
Geo,Geo_Metro,Geo_Metro_89,56,805,465,Driver,manual_belts,4,89,1650,mini
Geo,Geo_Prizm,Geo_Prizm_90,47,1341,455,Driver,manual_belts,4,90,2355,lt
Geo,Geo_Storm,Geo_Storm_91,47,394,478,Driver,d_airbag,2,91,2250,lt
Honda,Honda_Accord,Honda_Accord_87,46,863,1244,Driver,passive_belts,2,87,2440,lt
Honda,Honda_Accord_Dx,Honda_Accord_Dx_91,50,1361,1214,Driver,Motorized_belts,4,91,2850,comp
Honda,Honda_Accord_Lx,Honda_Accord_Lx_91,45,519,892,Driver,d_airbag,4,91,3160,med
Honda,Honda_Civic,Honda_Civic_91,50,996,765,Driver,Motorized_belts,4,91,2252,lt
Honda,Honda_Civic_Crx,Honda_Civic_Crx_89,39,361,791,Driver,manual_belts,2,89,1882,mini
Honda,Honda_Civic_Dx,Honda_Civic_Dx_88,37,767,471,Driver,manual_belts,2,88,2077,lt
Honda,Honda_Prelude,Honda_Prelude_90,59,770,681,Driver,passive_belts,2,90,2650,comp
Hyundai,Hyundai_Excel,Hyundai_Excel_87,54,2408,1187,Driver,passive_belts,4,87,2200,lt
Hyundai,Hyundai_Excel,Hyundai_Excel_87,55,790,1360,Driver,manual_belts,2,87,2180,lt
Hyundai,Hyundai_Excel,Hyundai_Excel_90,41,1385,1682,Driver,Motorized_belts,2,90,2200,lt
Hyundai,Hyundai_Scoupe,Hyundai_Scoupe_91,45,2532,1296,Driver,passive_belts,2,91,2201,lt
Hyundai,Hyundai_Sonata,Hyundai_Sonata_89,54,869,1717,Driver,manual_belts,4,89,2850,comp
Infiniti,Infiniti_M-30,Infiniti_M-30_90,43,936,844,Driver,d_airbag,2,90,3370,med
Isuzu,Isuzu_Amigo,Isuzu_Amigo_90,56,388,501,Driver,manual_belts,2,90,2900,mpv
Isuzu,Isuzu_I-Mark,Isuzu_I-Mark_87,53,351,365,Driver,manual_belts,4,87,2100,lt
Isuzu,Isuzu_Rodeo,Isuzu_Rodeo_91,69,568,334,Driver,manual_belts,4,91,3450,mpv
Isuzu,Isuzu_Spacecab,Isuzu_Spacecab_87,65,274,483,Driver,manual_belts,,87,2766,pu
Isuzu,Isuzu_Spacecab,Isuzu_Spacecab_88,59,325,397,Driver,manual_belts,,88,3128,pu
Isuzu,Isuzu_Stylus,Isuzu_Stylus_91,57,1021,440,Driver,d_airbag,4,91,2333,lt
Isuzu,Isuzu_Trooper_II_4x4,Isuzu_Trooper_II_4x4_89,73,932,322,Driver,manual_belts,4,89,3685,mpv
Isuzu,Isuzu_Trooper_II_4x4,Isuzu_Trooper_II_4x4_90,60,262,307,Driver,manual_belts,4,90,3684,mpv
Jeep,Jeep_Cherokee_4x4,Jeep_Cherokee_4x4_89,69,401,540,Driver,manual_belts,4,89,3284,mpv
Jeep,Jeep_Cherokee_4x4,Jeep_Cherokee_4x4_90,58,785,1218,Driver,manual_belts,4,90,3270,mpv
Jeep,Jeep_Comanche,Jeep_Comanche_87,62,925,319,Driver,manual_belts,,87,2907,pu
Jeep,Jeep_Wrangler_YJ_4x4,Jeep_Wrangler_YJ_4x4_87,44,1100,1015,Driver,manual_belts,2,87,3120,mpv
Lexus,Lexus_ES250,Lexus_ES250_90,55,1102,1012,Driver,d_airbag,4,90,3280,med
Lincoln,Lincoln_Continental,Lincoln_Continental_89,48,314,1247,Driver,d&p_airbags,4,89,3710,hev
Lincoln,Lincoln_Town_Car,Lincoln_Town_Car_90,40,1728,855,Driver,d&p_airbags,4,90,4080,hev
Mazda,Mazda_626,Mazda_626_87,52,820,1487,Driver,passive_belts,4,87,2590,comp
Mazda,Mazda_929,Mazda_929_88,51,1093,450,Driver,manual_belts,4,88,3470,med
Mazda,Mazda_Miata,Mazda_Miata_90,59,1026,911,Driver,d_airbag,2,90,2190,lt
Mazda,Mazda_Mpv,Mazda_Mpv_91,58,803,927,Driver,manual_belts,,91,3730,van
Mazda,Mazda_Protege,Mazda_Protege_91,57,1700,,Driver,Motorized_belts,4,91,2417,lt
Mazda,Mazda_RX-7,Mazda_RX-7_88,39,186,268,Driver,manual_belts,2,88,2630,comp
Mercedes,Mercedes_190E,Mercedes_190E_90,60,705,582,Driver,d_airbag,4,90,3058,med
Mercury,Mercury_Sable,Mercury_Sable_88,51,,862,Driver,manual_belts,4,88,3200,med
Mercury,Mercury_Topaz,Mercury_Topaz_87,64,585,957,Driver,d_airbag,4,87,2725,comp
Mercury,Mercury_Tracer,Mercury_Tracer_89,48,2073,658,Driver,manual_belts,4,89,2280,lt
Mitsubishi,Mitsubishi_Eclipse,Mitsubishi_Eclipse_90,44,1152,499,Driver,Motorized_belts,2,90,2594,comp
Mitsubishi,Mitsubishi_Galant,Mitsubishi_Galant_89,50,1613,584,Driver,manual_belts,4,89,2740,comp
Mitsubishi,Mitsubishi_Galant,Mitsubishi_Galant_91,61,1243,906,Driver,Motorized_belts,4,91,2838,comp
Mitsubishi,Mitsubishi_Mirage,Mitsubishi_Mirage_89,,827,1218,Driver,Motorized_belts,4,89,2370,lt
Mitsubishi,Mitsubishi_Montero_4x4,Mitsubishi_Montero_4x4_88,45,1303,329,Driver,manual_belts,2,88,3298,mpv
Mitsubishi,Mitsubishi_Starion,Mitsubishi_Starion_87,48,1260,1369,Driver,passive_belts,2,87,3020,med
Mitsubishi,Mitsubishi_Wagon,Mitsubishi_Wagon_89,49,1568,1427,Driver,manual_belts,,89,3441,van
Nissan,Nissan_240sx,Nissan_240sx_89,41,1234,687,Driver,Motorized_belts,2,89,2680,comp
Nissan,Nissan_200sx,Nissan_200sx_87,53,1390,103,Driver,manual_belts,2,87,2739,comp
Nissan,Nissan_300zx,Nissan_300zx_91,54,1495,1668,Driver,d_airbag,2,91,3324,med
Nissan,Nissan_Axxess,Nissan_Axxess_90,46,919,1257,Driver,passive_belts,,90,3037,van
Nissan,Nissan_Maxima,Nissan_Maxima_89,51,611,1409,Driver,Motorized_belts,4,89,3160,med
Nissan,Nissan_Maxima_SE,Nissan_Maxima_SE_88,64,1422,885,Driver,passive_belts,4,88,3210,med
Nissan,Nissan_NL_Xev_Pickup,Nissan_NL_Xev_Pickup_88,67,242,655,Driver,manual_belts,,88,2631,pu
Nissan,Nissan_Pickup,Nissan_Pickup_87,57,252,420,Driver,manual_belts,,87,2714,pu
Nissan,Nissan_Pickup,Nissan_Pickup_89,46,794,621,Driver,manual_belts,,89,2670,pu
Nissan,Nissan_Pulsar_Nx,Nissan_Pulsar_Nx_88,40,,226,Driver,manual_belts,2,88,2480,lt
Nissan,Nissan_Sentra,Nissan_Sentra_87,61,803,304,Driver,manual_belts,4,87,2296,lt
Nissan,Nissan_Sentra,Nissan_Sentra_88,53,880,1030,Driver,manual_belts,4,88,2328,lt
Nissan,Nissan_Sentra,Nissan_Sentra_91,46,1117,475,Driver,Motorized_belts,2,91,2420,lt
Nissan,Nissan_Stanza,Nissan_Stanza_90,59,1404,813,Driver,Motorized_belts,4,90,2790,comp
Nissan,Nissan_Stanza,Nissan_Stanza_91,56,1803,413,Driver,Motorized_belts,4,91,2740,comp
Nissan,Nissan_Van_Xe,Nissan_Van_Xe_88,54,1326,661,Driver,manual_belts,,88,3560,van
Oldsmobile,Oldsmobile_Calais,Oldsmobile_Calais_87,70,1085,1435,Driver,passive_belts,4,87,2650,comp
Oldsmobile,Oldsmobile_Delta_88,Oldsmobile_Delta_88_88,51,1350,520,Driver,d_airbag,4,88,3460,med
Peugeot,Peugeot_505S,Peugeot_505S_89,64,966,1024,Driver,Motorized_belts,4,89,3010,med
Peugeot,Peugeot_505,Peugeot_505_87,60,300,535,Driver,manual_belts,4,87,2900,comp
Peugeot,Peugeot_505_GLS,Peugeot_505_GLS_88,60,1657,751,Driver,passive_belts,4,88,3070,med
Plymouth,Plymouth_Acclaim,Plymouth_Acclaim_89,46,1201,840,Driver,manual_belts,4,89,2820,comp
Plymouth,Plymouth_Acclaim,Plymouth_Acclaim_91,55,1044,252,Driver,d_airbag,4,91,2860,comp
Plymouth,Plymouth_Sundance,Plymouth_Sundance_87,52,717,467,Driver,manual_belts,4,87,2580,comp
Plymouth,Plymouth_Voyager,Plymouth_Voyager_87,43,776,453,Driver,manual_belts,,87,3040,van
Pontiac,Pontiac_Grand_Am,Pontiac_Grand_Am_87,44,879,497,Driver,passive_belts,2,87,2530,comp
Pontiac,Pontiac_Le_Mans,Pontiac_Le_Mans_88,57,1263,378,Driver,manual_belts,2,88,2200,lt
Pontiac,Pontiac_Sunbird,Pontiac_Sunbird_87,36,428,483,Driver,manual_belts,4,87,2415,lt
Pontiac,Pontiac_Trans_Sport,Pontiac_Trans_Sport_90,42,1109,913,Driver,manual_belts,,90,3740,van
Renault,Renault_Medallion,Renault_Medallion_88,57,205,411,Driver,manual_belts,4,88,2660,comp
Saab,Saab_900S,Saab_900S_88,46,1776,,Driver,passive_belts,2,88,2840,comp
Saab,Saab_9000,Saab_9000_87,37,120,435,Driver,manual_belts,4,87,2990,comp
Saturn,Saturn_SL2,Saturn_SL2_91,44,1009,1178,Driver,Motorized_belts,4,91,2453,lt
Subaru,Subaru_GL,Subaru_GL_87,58,1016,485,Driver,manual_belts,4,87,2254,lt
Subaru,Subaru_Justy_DL,Subaru_Justy_DL_87,42,529,595,Driver,manual_belts,2,87,1660,mini
Subaru,Subaru_Legacy,Subaru_Legacy_90,52,1957,842,Driver,Motorized_belts,4,90,2640,comp
Suzuki,Suzuki_Sidekick_4x4,Suzuki_Sidekick_4x4_89,64,1595,2856,Driver,manual_belts,2,89,2311,mpv
Suzuki,Suzuki_Sidekick_4x4,Suzuki_Sidekick_4x4_91,74,562,2285,Driver,manual_belts,2,91,2643,mpv
Toyota,Toyota_4-Runner_4x4,Toyota_4-Runner_4x4_90,48,430,821,Driver,manual_belts,4,90,3860,mpv
Toyota,Toyota_Camry,Toyota_Camry_87,51,1380,1160,Driver,passive_belts,4,87,2780,comp
Toyota,Toyota_Celica,Toyota_Celica_90,50,1071,906,Driver,d_airbag,2,90,2460,lt
Toyota,Toyota_Corolla_Fx,Toyota_Corolla_Fx_88,42,719,300,Driver,manual_belts,2,88,2320,lt
Toyota,Toyota_Corolla,Toyota_Corolla_89,49,1101,451,Driver,manual_belts,4,89,2370,lt
Toyota,Toyota_Corolla,Toyota_Corolla_91,54,1375,1342,Driver,passive_belts,4,91,2405,lt
Toyota,Toyota_Cressida,Toyota_Cressida_89,51,1632,1246,Driver,Motorized_belts,4,89,3450,med
Toyota,Toyota_Pickup,Toyota_Pickup_87,57,437,364,Driver,manual_belts,,87,2508,pu
Toyota,Toyota_Pickup,Toyota_Pickup_89,47,1340,1053,Driver,manual_belts,,89,2543,pu
Toyota,Toyota_Pickup_4x4,Toyota_Pickup_4x4_91,49,1104,636,Driver,manual_belts,,91,3284,pu
Toyota,Toyota_Previa,Toyota_Previa_91,66,332,663,Driver,manual_belts,,91,3642,van
Toyota,Toyota_Tercel,Toyota_Tercel_88,40,1245,367,Driver,manual_belts,2,88,2100,lt
Toyota,Toyota_Tercel,Toyota_Tercel_91,57,945,778,Driver,passive_belts,4,91,2120,lt
Toyota,Toyota_Van,Toyota_Van_89,59,1199,474,Driver,manual_belts,,89,3277,van
Volkswagen,Volkswagen_Fox,Volkswagen_Fox_87,52,484,924,Driver,manual_belts,2,87,2140,lt
Volkswagen,Volkswagen_Fox,Volkswagen_Fox_88,55,344,663,Driver,manual_belts,2,88,2200,lt
Volkswagen,Volkswagen_Fox,Volkswagen_Fox_89,64,139,1019,Driver,manual_belts,2,89,2150,lt
Volkswagen,Volkswagen_Passat,Volkswagen_Passat_90,59,1104,1436,Driver,Motorized_belts,4,90,2990,comp
Volkswagen,Volkswagen_Vanagon_GL,Volkswagen_Vanagon_GL_88,59,2930,1911,Driver,manual_belts,,88,3520,van
Volvo,Volvo_740_GLE,Volvo_740_GLE_88,42,1143,723,Driver,d_airbag,4,88,3010,med
Yugo,Yugo_GV,Yugo_GV_87,45,,701,Driver,manual_belts,2,87,1850,mini
Acura,Acura_Integra,Acura_Integra_87,34,387,354,Passenger,manual_belts,2,87,2350,lt
Acura,Acura_Integra_RS,Acura_Integra_RS_90,42,1684,1877,Passenger,Motorized_belts,4,90,2490,lt
Acura,Acura_Legend_LS,Acura_Legend_LS_88,41,730,722,Passenger,d_airbag,4,88,3280,med
Audi,Audi_80,Audi_80_89,39,324,245,Passenger,manual_belts,4,89,2790,comp
Audi,Audi_100,Audi_100_89,31,571,757,Passenger,d_airbag,4,89,3100,med
Buick,Buick_Century,Buick_Century_91,40,1014,179,Passenger,passive_belts,4,91,2992,comp
Buick,Buick_Elect._Park_Ave,Buick_Elect._Park_Ave_88,37,479,686,Passenger,manual_belts,4,88,3360,med
Buick,Buick_Le_Sabre,Buick_Le_Sabre_90,32,669,903,Passenger,passive_belts,2,90,3240,med
Buick,Buick_Regal,Buick_Regal_88,33,686,526,Passenger,passive_belts,2,88,3210,med
Chevrolet,Chevrolet_Astro,Chevrolet_Astro_88,63,1695,576,Passenger,manual_belts,,88,3787,van
Chevrolet,Chevrolet_Astro,Chevrolet_Astro_89,64,1901,365,Passenger,manual_belts,,89,4002,van
Chevrolet,Chevrolet_Beretta,Chevrolet_Beretta_91,35,910,230,Passenger,d_airbag,2,91,2671,comp
Chevrolet,Chevrolet_Beretta_GT,Chevrolet_Beretta_GT_88,42,1731,796,Passenger,passive_belts,2,88,2890,comp
Chevrolet,Chevrolet_Camaro,Chevrolet_Camaro_87,39,961,144,Passenger,manual_belts,2,87,3070,med
Chevrolet,Chevrolet_Camaro,Chevrolet_Camaro_91,42,627,174,Passenger,d_airbag,2,91,3191,med
Chevrolet,Chevrolet_Caprice,Chevrolet_Caprice_89,42,260,495,Passenger,manual_belts,4,89,3693,hev
Chevrolet,Chevrolet_Caprice,Chevrolet_Caprice_91,48,1527,626,Passenger,d_airbag,4,91,3990,hev
Chevrolet,Chevrolet_Cavalier,Chevrolet_Cavalier_90,37,1749,890,Passenger,passive_belts,4,90,2540,comp
Chevrolet,Chevrolet_Corsica,Chevrolet_Corsica_88,40,614,845,Passenger,manual_belts,4,88,2750,comp
Chevrolet,Chevrolet_Corsica,Chevrolet_Corsica_91,44,1377,424,Passenger,d_airbag,4,91,2830,comp
Chevrolet,Chevrolet_C-1500,Chevrolet_C-1500_88,46,1207,306,Passenger,manual_belts,,88,3680,pu
Chevrolet,Chevrolet_G-20_Beauville,Chevrolet_G-20_Beauville_87,43,1507,,Passenger,manual_belts,,87,4887,van
Chevrolet,Chevrolet_G-20,Chevrolet_G-20_88,56,2447,259,Passenger,manual_belts,,88,4244,van
Chevrolet,Chevrolet_Suburban,Chevrolet_Suburban_87,42,101,358,Passenger,manual_belts,4,87,5619,mpv
Chevrolet,Chevrolet_S-10_Blazer_4X4,Chevrolet_S-10_Blazer_4X4_89,48,,,Passenger,manual_belts,2,89,3518,mpv
Chevrolet,Chevrolet_S-10_Blazer_4X4,Chevrolet_S-10_Blazer_4X4_91,51,1909,515,Passenger,manual_belts,4,91,3820,mpv
Chevrolet,Chevrolet_S-10_Pickup,Chevrolet_S-10_Pickup_87,34,1476,699,Passenger,manual_belts,,87,2592,pu
Chevrolet,Chevrolet_S-10_Pickup_4x4,Chevrolet_S-10_Pickup_4x4_90,53,2046,804,Passenger,manual_belts,,90,3360,pu
Chrysler,Chrysler_Fifth_Ave,Chrysler_Fifth_Ave_89,43,766,575,Passenger,d_airbag,4,89,3820,hev
Chrysler,Chrysler_Imperial,Chrysler_Imperial_90,56,862,863,Passenger,d_airbag,4,90,3540,hev
Chrysler,Chrysler_Le_Baron,Chrysler_Le_Baron_87,82,1863,853,Passenger,passive_belts,2,87,2870,comp
Chrysler,Chrysler_Le_Baron,Chrysler_Le_Baron_90,46,1119,769,Passenger,d_airbag,2,90,3000,med
Chrysler,Chrysler_New_Yorker,Chrysler_New_Yorker_88,43,1580,454,Passenger,manual_belts,4,88,3190,med
Daihatsu,Daihatsu_Charade,Daihatsu_Charade_88,37,1188,388,Passenger,manual_belts,2,88,1820,mini
Dodge,Dodge_colt,Dodge_colt_88,38,402,1601,Passenger,manual_belts,4,88,2348,lt
Dodge,Dodge_D-150,Dodge_D-150_88,35,396,276,Passenger,manual_belts,,88,3550,pu
Dodge,Dodge_Dakota,Dodge_Dakota_87,41,213,460,Passenger,manual_belts,,87,3010,pu
Dodge,Dodge_Dakota_4x4,Dodge_Dakota_4x4_90,56,846,625,Passenger,manual_belts,,90,3740,pu
Dodge,Dodge_Daytona,Dodge_Daytona_89,32,795,457,Passenger,d_airbag,2,89,2790,comp
Dodge,Dodge_Shadow,Dodge_Shadow_87,36,748,486,Passenger,manual_belts,2,87,2550,comp
Dodge,Dodge_Shadow,Dodge_Shadow_91,39,739,781,Passenger,d_airbag,4,91,2730,comp
Dodge,Dodge_Spirit,Dodge_Spirit_89,45,1295,707,Passenger,manual_belts,4,89,2840,comp
Eagle,Eagle_Medallion,Eagle_Medallion_89,39,1738,1670,Passenger,Motorized_belts,4,89,2740,comp
Eagle,Eagle_Premier,Eagle_Premier_89,44,1011,685,Passenger,manual_belts,4,89,3060,med
Ford,Ford_Aerostar,Ford_Aerostar_87,54,518,446,Passenger,manual_belts,,87,3013,van
Ford,Ford_Bronco_II_4x4,Ford_Bronco_II_4x4_89,51,2110,289,Passenger,manual_belts,2,89,3485,mpv
Ford,Ford_Club_Wagon,Ford_Club_Wagon_90,49,3347,1294,Passenger,manual_belts,,90,5103,van
Ford,Ford_Escort,Ford_Escort_87,40,1053,619,Passenger,passive_belts,2,87,2280,lt
Ford,Ford_Escort,Ford_Escort_91,39,1055,1119,Passenger,Motorized_belts,2,91,2336,lt
Ford,Ford_F-150,Ford_F-150_88,38,1090,295,Passenger,manual_belts,,88,3757,pu
Ford,Ford_Festiva,Ford_Festiva_88,43,876,251,Passenger,manual_belts,2,88,1760,mini
Ford,Ford_Mustang_LX,Ford_Mustang_LX_87,34,1589,290,Passenger,manual_belts,2,87,2868,comp
Ford,Ford_Mustang,Ford_Mustang_90,50,1707,408,Passenger,d_airbag,2,90,3445,med
Ford,Ford_Probe,Ford_Probe_89,35,870,187,Passenger,manual_belts,2,89,2650,comp
Ford,Ford_Probe,Ford_Probe_91,45,1592,1033,Passenger,Motorized_belts,2,91,2810,comp
Ford,Ford_Ranger,Ford_Ranger_87,47,526,701,Passenger,manual_belts,,87,2668,pu
Ford,Ford_Ranger_4x4,Ford_Ranger_4x4_90,52,3200,282,Passenger,manual_belts,,90,3533,pu
Ford,Ford_Taurus,Ford_Taurus_88,47,775,438,Passenger,manual_belts,4,88,3140,med
Ford,Ford_Taurus,Ford_Taurus_90,40,1261,318,Passenger,d_airbag,4,90,3080,med
Ford,Ford_Taurus,Ford_Taurus_91,38,1594,708,Passenger,d_airbag,4,91,3290,med
Ford,Ford_Tempo,Ford_Tempo_88,50,1773,702,Passenger,passive_belts,4,88,2660,comp
Ford,Ford_T-Bird,Ford_T-Bird_89,40,1138,776,Passenger,Motorized_belts,2,89,3630,hev
Geo,Geo_Metro,Geo_Metro_89,33,671,571,Passenger,manual_belts,2,89,1590,mini
Geo,Geo_Metro,Geo_Metro_89,46,244,1002,Passenger,manual_belts,4,89,1650,mini
Geo,Geo_Prizm,Geo_Prizm_90,53,1549,447,Passenger,manual_belts,4,90,2355,lt
Geo,Geo_Storm,Geo_Storm_91,45,508,555,Passenger,d_airbag,2,91,2250,lt
Honda,Honda_Accord,Honda_Accord_87,36,695,558,Passenger,passive_belts,2,87,2440,lt
Honda,Honda_Accord_Dx,Honda_Accord_Dx_91,40,1452,900,Passenger,Motorized_belts,4,91,2850,comp
Honda,Honda_Accord_Lx,Honda_Accord_Lx_91,43,1015,562,Passenger,d_airbag,4,91,3160,med
Honda,Honda_Civic,Honda_Civic_91,47,2158,624,Passenger,Motorized_belts,4,91,2252,lt
Honda,Honda_Civic_Crx,Honda_Civic_Crx_89,37,903,375,Passenger,manual_belts,2,89,1882,mini
