focal_depth,latitude,longitude
15,24.12,102.49
189,-34.85,178.79
68,6.8,126.75
82,-25.85,-177.29
25,42.48,143.04
23,7.03,-104.24
18,15.57,-99.48
8,12.58,122.09
36,-9.84,-75.55
83,9.8,125.91
24,30.61,103.05
7,50.13,-179.59
161,52.59,-175.04
21,12.15,143.82
39,-19.07,168.54
44,44.65,148.99
16,57.39,-153.97
99,-29.6,-69.42
8,51.34,173.75
3,-22.08,126.65
11,0.28,119.37
59,-6.26,154.62
18,39.21,29.51
232,-17.07,168.56
82,6.78,126.66
75,39.78,141.91
40,15.78,121.71
23,38.34,22.56
25,15.08,122.01
243,-18.79,169.29
12,52.93,171.45
56,14.65,-92.59
37,14.61,-93.29
196,-4.37,151.81
12,50.19,91.24
6,-55.92,-28.07
406,27.22,140.29
85,-11.73,166.38
48,-9.15,-78.83
54,-9.93,-78.46
45,-9.28,-79.05
43,-10.22,-78.69
48,-9.88,-78.69
24,42.48,78.71
53,44.72,149.46
87,-24.47,-68.46
64,-58.86,157.6
32,-2.9,139.08
10,-51.94,-74.14
99,-16,-71.88
44,-22.28,-70.55
72,-7.9,158.68
50,-8.75,124.04
587,-21.66,-179.42
55,-10.14,-78.6
148,18,-64.67
44,51.35,-178.51
47,32.26,131.78
47,32.31,131.83
73,-37.73,177.66
68,26.02,95.37
653,-1.46,-72.56
17,1.16,126.2
46,-13.92,166.65
20,-14.13,166.56
45,-60.63,-25.27
43,-13.89,166.53
92,-9,117.95
30,60.7,-145.38
33,-56.46,-142.61
76,-4.6,153.22
643,52.36,151.64
39,17.7,147.65
50,13,144.5
42,-6.5,154.63
8,6.37,-77.48
6,6.52,-77.4
60,-13.52,166.59
32,-3.56,86.19
7,-31.94,-177.89
33,-32,-178.1
124,-4.1,143.1
0,73.31,54.89
37,39.25,140.71
45,-4.97,145.45
33,-3.43,135.65
22,-5.1,145.13
80,-6.05,148.55
39,43.46,146.94
16,-20.94,-69.81
119,-4.11,142.88
10,-11.02,163.45
25,-11.03,163.41
29,-23.19,-70.11
39,41.79,143.5
183,29.79,140.11
46,-30.81,-71.16
15,-3.97,-80.66
0,43.87,54.78
46,-1.59,99.95
0,43.81,54.82
63,-5.23,153.59
70,-10.58,161.39
41,-3.21,139.69
3,-2.95,139.64
40,-3.06,139.62
34,-3.31,139.76
39,-3.01,139.62
52,-3.24,139.84
18,-3.31,139.91
22,-3.37,139.91
55,-3.08,139.45
33,-3.41,139.55
134,-3.63,139.44
31,-9.65,151.4
45,51.46,-177.71
515,51.69,150.97
57,-2.89,139.38
40,0.53,98.72
40,51.47,-176.81
12,-63.43,-61.36
9,34.4,-118.43
166,-23.81,-67.2
115,-5.75,145.39
21,-10.93,163.8
20,8.43,127.23
49,-22.96,-176.14
29,70.97,-6.86
14,41.42,79.2
92,4.76,126.52
0,60.33,-140.94
33,37.3,71.07
49,38.41,142.18
67,-0.36,124.73
150,53.26,-170.53
29,2.45,129.13
74,-4.42,102.32
37,28.3,55.61
0,49.77,78.08
38,51.41,-177.21
46,-6.54,105.37
146,-42.28,-71.79
29,-39.78,-104.87
42,7.99,126.95
0,63.92,146.1
3,38.85,40.52
35,18.02,-69.79
19,51.67,176.04
76,-25.4,-69.06
34,-5.26,153.46
54,-6.23,154.45
0,-5.18,96.89
58,-5.97,144.38
92,-7.03,129.7
40,-32.51,-71.21
36,-32.19,-71.72
43,-5.52,153.87
48,-4.86,153.32
37,-5.78,153.8
36,52.13,173.03
43,-4.93,153.18
41,39.81,77.22
74,-5.4,152.07
33,-5.53,151.84
77,-5.16,152.26
48,-5.7,151.96
23,-5.81,151.55
49,-5.86,151.31
88,-2.79,-77.35
59,-4.89,153.34
25,-5.14,152.87
45,41.37,143.44
43,-0.85,-22.07
60,-5.88,154.31
43,-5.74,152.13
32,49.29,155.49
9,13.3,-92.41
33,-55.73,-26.04
14,46.54,141.15
21,46.76,141.39
27,46.28,141.03
7,44.34,150.85
29,-20.41,-174.17
22,-6.46,151.55
4,-6.79,151.8
30,39.17,143.4
107,-5.93,130.68
111,-6.54,146.64
70,-0.02,124.84
0,73.39,54.91
27,46.41,141.16
148,3.63,125.92
30,-0.45,-4.89
52,-6.55,154.97
111,-5.42,154.28
26,11.83,142.52
50,-6.49,151.18
21,11.86,142.38
21,11.86,142.35
49,-15.57,167.24
45,-5.93,154.05
107,-5.57,153.99
66,-5.95,153.84
53,10.11,92.93
533,-23.45,-179.88
119,-11.87,166.55
135,-11.94,166.57
99,52.85,159.22
33,-55.19,-128.87
99,-29.86,-69.5
38,44.77,153.33
77,-6.02,154.56
39,56.04,163.17
0,47.9,48.07
116,-4.75,151.84
11,-16.85,174.9
6,22.5,122.08
166,-4.6,151.86
29,-30.65,-177.82
12,-2.09,138.96
36,20.95,120.26
56,-55.72,-28.75
23,-4.84,145.1
37,-4.74,145
214,36.4,70.72
33,-13.18,166.32
12,-3.54,151.29
29,22.55,122.37
34,23.05,122.14
127,-19.38,169.13
45,19.36,122.06
5,-15.36,-173.3
101,-11.43,166.37
60,-17.62,-71.27
40,-60.59,-25.5
50,33.38,140.97
52,33.48,141.05
12,-18.94,-173.72
54,33.45,141
181,-28.25,-178.27
29,-3.74,131.39
37,33.6,141.38
72,40.84,141.98
52,-6.79,-76.76
43,51.27,-179.21
135,49.05,153.6
33,-45.1,166.68
43,56.14,-157.14
124,48.04,153.13
40,43.33,146.03
479,-25.69,179.58
33,-49.35,164.09
1,-16.05,-173
376,-7.47,125.56
33,-53.52,159.08
21,42.09,84.58
11,28.39,52.78
0,0.99,-28.3
48,24.1,122.44
91,53.95,-166.82
116,-31.4,-110.99
29,23.6,121.55
38,13.38,120.34
413,-5.13,154.23
30,5.22,-100.32
46,-15.94,167.53
14,35.16,23.56
38,-4.21,152.71
565,-17.82,-178.79
342,-27.74,-178.99
36,16.61,122.19
208,-17.76,-175.06
45,-11.05,116.97
39,-30.34,-71.58
336,3.86,124.26
27,53.25,-166.78
66,-7.12,155.87
47,36.28,69.69
31,50.1,-129.3
29,56.77,-135.91
19,30.71,141.82
92,2.35,127.56
47,49.13,155.97
10,-11.1,162.17
20,-16.66,-172.01
45,51.34,-179.29
43,-6.29,144.46
26,-6.04,152.9
22,-6.05,152.63
53,-5.15,134.09
573,49.47,147.08
115,-33.49,-179.4
0,73.39,54.65
122,-14.99,167.3
51,29.41,130.64
45,35.94,73.33
64,-11.78,166.31
154,1.9,128.2
49,-19.89,169.08
107,-2.52,119.22
0,71.42,-10.39
48,-15.35,-175.6
75,37.96,22.38
30,-20.36,168.89
20,15.23,-96.26
23,-9.93,119.6
0,19.55,-70.22
33,-6.22,131.15
33,-6.56,131.3
7,-30.91,-68.21
10,-16.47,-172.17
632,7.46,123.77
119,1.81,127.45
35,52.89,-162.98
33,-8.79,124.98
63,27.48,128.57
2,-7.33,146.83
0,49.91,78.85
37,-20.03,168.91
22,23.87,121.61
111,38.33,73.17
0,-6.72,154.53
73,6.41,126.62
62,33.34,140.82
0,-1.52,136.67
0,49.97,78.95
16,44.68,149.37
83,-7,155.81
139,-7.5,127.83
159,-4.35,153.45
61,-30.51,-71.08
147,-39.02,175.23
24,-14.66,166.41
38,-6.88,150.03
90,-12.1,166.52
112,-0.14,124
48,18.53,-102.93
508,28.22,139.3
214,-22.53,-66.19
5,31.33,100.49
35,31.5,100.33
42,22.27,121.52
53,-19.16,168.69
41,-61.1,-38.01
62,50.51,156.58
24,54.73,161.7
25,6.32,127.38
56,-3.01,139.08
62,50.78,157.19
11,2.18,126.65
193,-19.41,169.39
44,13.41,122.87
33,2.09,126.55
51,29.3,130.41
146,4.7,-75.67
39,7,91.33
38,-15.81,167.24
15,-9.81,119.29
46,50.86,157.43
20,4.96,-78.12
19,-59.38,-26.12
9,20.05,-155.16
15,-10.01,150.2
33,2.25,126.74
48,-1.46,99.8
0,-6.34,151.18
23,-6.26,151.86
0,53.97,-163.71
1,24.31,93.52
33,-54,159.35
91,-10.31,161.42
0,-6.73,154.81
55,-7.27,156.14
33,53.61,161.38
44,51.27,-179.38
0,44.98,-125.87
41,43.12,145.74
39,42.92,146.39
11,42.65,146.08
0,-5.88,151.86
26,43.28,146.43
19,43.14,146.89
45,19.11,121.19
10,43.01,146.66
56,43.28,145.81
30,57.86,-137.42
56,12.21,125.29
0,57.99,-138.04
22,35.16,86.4
49,36.45,141.05
373,-24.83,-179.19
0,49.94,78.85
203,-14.33,167.29
33,-16.22,-173.08
44,43.38,146.46
109,-4.5,144.1
346,-31.38,-179.38
33,57.09,-154.12
55,-7.22,156.08
75,18.25,-96.58
77,-0.15,-17.97
45,-37.27,179.32
43,7.15,84.33
552,42.48,131.05
0,73.32,54.97
64,9.2,126.19
128,-7.02,-76.19
542,9.23,123.92
33,-4.4,-102.1
33,-4.37,-102.04
33,-54.97,146.25
0,70.8,53.42
567,41.93,130.99
56,35.67,140.64
33,-32.98,-71.87
33,-61.05,-21.7
28,-14.34,167.06
32,0.52,-29.47
56,19.42,-104.98
517,-21.95,-63.65
0,70.8,53.92
48,-2.96,139.34
7,-25.98,-67.72
18,51.52,-175.27
60,49.99,156.33
270,-31.2,-179.47
62,49.99,156.31
56,38.98,141.93
45,53.61,160.49
124,-15.18,167.43
23,-35.59,-74.54
42,43.25,146.75
26,-19.9,169.66
0,50.03,79.02
52,51.38,-177.85
42,-9.52,119.39
191,-20.61,-176.32
517,-23.88,180
13,-14.56,166.8
43,-15.13,166.91
41,-14.92,166.48
10,-15.37,166.54
83,-22.49,-68.26
92,-12.28,-76.3
24,-38.84,46.43
36,-14.45,166.87
27,42.03,143.89
51,-5.15,134.15
32,-7.39,155.92
33,-7,155.78
12,-7.28,155.63
21,18.93,120.13
39,-5.13,133.91
46,-7.35,155.82
7,53.74,-164.7
10,-3.79,134.01
391,33.17,136.98
46,44.01,147.78
37,1.27,97.63
34,9.51,-83.95
19,-20.02,169.77
47,-7.48,156.2
57,-7.48,156.01
154,48.31,153.16
25,-14.91,-172.83
504,-23.93,179.88
74,12.57,144.24
23,57.56,-153.92
8,55.15,-160.57
6,55.05,-160.51
44,-26.28,-175.78
386,-31.55,179.79
33,-33.49,-177.31
10,34.57,138.75
33,-4.3,-102.07
17,28.19,103.98
43,1.87,126.48
26,19.73,147.34
58,49.98,156.22
100,-11.17,-75.01
141,-6.55,106.77
13,-17.68,167.8
7,-17.62,167.53
0,49.91,78.91
256,-15.89,-175.04
397,-31.88,179.94
52,-56.03,-27.47
0,-2.25,141.1
20,-26.02,84.3
68,-4.72,152.56
33,-29.22,-175.94
77,-29.37,-176.13
16,45.2,93.86
45,36.44,141.17
12,7.76,-77.57
10,7.74,-77.54
50,46.22,153.14
46,46.01,152.88
210,36.42,70.76
7,39.34,73.77
26,39.46,73.63
19,-38.34,-73.27
45,32.18,142.37
0,73.41,54.93
34,18.27,119.2
62,-4.26,143.55
60,-9.8,108.49
40,55.25,162
331,-30.54,-178.03
105,-6.2,146.1
41,-0.28,12.83
5,43.12,146.56
9,-12.24,-77.58
41,17.37,-61.99
34,44.64,150.09
596,-17.97,-178.49
18,-8.4,154.03
33,-15.49,167.1
156,-6.93,129.52
0,70.81,53.91
125,42.53,141.75
6,-12.44,-77.46
55,-6.44,105.38
31,-15.91,-178.47
58,2.27,121.06
44,35.85,141.1
62,-15.12,167.16
36,-53.59,-28.26
29,-6.06,154.23
58,-15.24,167.3
429,30.71,138.44
32,-6.15,153.05
32,-5.04,129.99
20,0.51,97.89
156,-7.65,-74.46
32,-2.3,99.01
7,51.66,174.59
45,35.05,72.91
58,61.92,-149.72
74,-2.99,101.68
82,-4.93,130.09
99,-17.86,-174.57
1,32.38,78.5
49,31.94,78.53
6,35.05,141.37
40,7.18,-77.76
2,53,173.47
10,53.08,173.58
16,40.66,122.63
9,-7.24,149.58
43,51.32,-179.44
333,-24.98,-178.88
72,-6.07,148.21
574,-17.84,-178.53
7,-2.39,126.15
31,27.47,56.24
28,-29.89,-71.4
86,-21.75,170.53
111,-4.26,-77.01
29,22.68,122.84
429,-32.36,179.88
5,42.04,-112.41
131,-4.06,152.75
33,-50.84,139.19
93,-14.79,-72.66
15,71.49,-10.36
31,-36.41,-98.82
17,16.47,-98.86
472,-31.79,-179.51
33,35.8,79.86
24,37.2,142.09
30,-38.03,-72.78
37,1.03,126.02
1,22.7,122.61
34,35.98,-17.56
97,0.75,122.61
647,-20.61,-179.14
59,-4.5,153.53
0,44.39,146.87
72,43.26,147.39
42,36.31,143.3
65,43.51,147.65
39,-3.1,148
53,30.07,142.15
549,38.78,130.09
112,21.42,94.62
20,32.84,142.43
81,6.51,126.65
88,-10.34,161.2
54,-6.64,155.09
49,-7.15,155.21
58,-6.63,154.66
63,-6.84,155.41
93,-9.84,123.96
46,53.48,-161.39
33,-2.51,146.03
187,-22.73,-66.62
53,-6.9,147.77
41,54.92,167.87
0,73.34,54.5
68,10.04,125.86
65,-10.13,121.7
32,38.51,40.77
66,7.05,-104.18
27,-34.74,81.88
12,-20.45,-173.96
123,-9.49,-74.65
47,-4.83,102.24
19,-4.83,102.04
69,-12.54,166.47
23,0.91,-26.71
128,-15.4,167.55
11,-24.91,-175.16
33,-24.2,-175.1
106,-7.54,128.76
0,70.84,53.53
0,73.33,54.93
61,6.54,126.81
39,-22.91,-70.48
0,49.91,78.92
62,42.05,142.66
48,12.47,126.01
117,13.82,144.79
405,-18.39,-177.88
30,12.5,126.06
44,13.83,125.07
35,12.91,125.89
69,-12.25,166.61
0,7.55,-77.5
411,-33.02,-179.96
51,-57.78,-25.52
11,19.46,-155.14
49,-14.92,-172.88
94,-11.54,-74.52
69,-7.01,155.75
33,-11.74,164.81
546,51.93,151.57
102,-4.07,142.11
33,-16.22,-172.47
18,-56.8,-68.42
23,-28.78,-177.39
101,-13.31,-74.94
5,66.25,-16.54
29,-29.48,-177.57
56,-29.02,-177.42
42,-29.64,-176.76
64,-30.01,-176.85
33,-32.67,-178.21
11,-32.65,-177.81
5,44.74,149.15
615,-7.46,119.89
54,-28.65,-177.38
48,44.62,149.69
68,-29.35,-177.29
48,17.15,-100.23
38,54.52,162.02
5,15.28,-89.19
37,-5.96,146.33
40,-57.39,-64.46
0,12.98,125.74
71,-6.36,154.84
9,-39.93,-74.89
50,-8.36,121.46
98,-14.77,167.12
25,-10.62,165.06
75,-29.92,-177.8
3,-30.6,-178.21
35,3.96,-85.88
21,-3.94,152.04
10,40.31,63.72
5,40.18,63.79
19,0.85,-79.63
19,28.7,52.12
19,-44.58,167.64
10,-29.93,-177.62
12,46.35,13.26
21,-7.47,154.68
21,-7.58,154.61
40,-51.6,139.76
32,-32.63,-178.19
146,-37.28,177.16
5,-11.62,-74.45
14,40.35,63.45
161,4.49,-75.77
72,-31.3,-177.67
198,3.69,125.14
112,-5.91,145.88
107,-5.6,154.29
164,-5.6,148.35
122,-5.02,153.65
56,-10.51,-78.3
3,24.51,98.95
27,-41.5,-75.34
96,-5.13,153.55
79,-10.08,161.06
36,-7.38,154.69
28,14.06,124.87
48,17.45,-100.65
36,0.52,134.75
21,24.79,125.98
1,3.4,96.28
35,0.53,134.84
33,-4.58,140.13
35,-4.34,139.86
26,3.78,126.81
33,-4.52,140.24
20,-33.78,-177.83
29,-29.51,25.17
0,49.85,78.97
33,-50.01,-115.1
402,47.31,145.75
25,7.48,-78.28
3,7.41,-78.05
37,-8.21,114.87
41,-8.17,114.84
62,-4.18,152.76
10,39.56,117.87
37,39.71,118.37
0,47.81,48.1
6,-30.32,-177.87
43,-20.59,169.31
31,26.7,97.04
9,32.78,104.09
146,-34.28,-176.53
8,6.22,124.11
33,7.18,123.55
52,7.33,123.54
44,7.35,123.42
33,10.09,125.9
17,7.22,122.99
165,-6.77,129.62
15,32.59,104.25
18,32.49,104.18
55,6.52,124.07
0,49.95,78.98
51,1.03,147.56
12,-9.2,148.17
51,44.78,149.21
0,73.41,54.5
40,6.93,124.04
16,-30.48,-177.42
20,-6.43,153
115,-10.45,161.34
196,36.5,70.58
33,-4.54,139.93
47,-29.36,77.65
64,8.52,126.41
32,6.98,123.89
44,38.12,142.26
27,39.5,117.73
33,-8.84,156.97
52,7.09,123.59
0,49.97,79.01
10,39.05,44.04
424,-19.5,-177.7
11,41.33,-125.66
190,36.52,71.05
70,-20.57,-68.93
0,49.87,78.89
370,-31.95,179.18
503,28.04,139.67
11,28.27,130.67
6,48.84,-129.13
47,23.41,143.71
112,-7.9,109
27,-2.51,126.68
43,38.19,90.97
33,-3.65,144.5
67,-24.93,-68.68
22,-41.74,174.3
15,37.02,95.73
55,5.04,126.63
20,40.11,70.86
555,-24.66,-63.39
31,-66.49,-82.45
33,-60.96,-22.96
49,0.54,126.05
46,33.15,141.06
33,-41.31,80.52
44,53.54,169.96
54,-6.26,147.59
52,6.74,123.74
86,45.83,26.72
556,41.66,131.05
56,-4.96,131.03
40,16.73,122.29
43,44.16,148.23
0,-21.89,-138.96
24,27.59,56.38
119,-14.76,167.11
23,27.57,56.3
33,-16.79,-172.02
49,-9.9,160.44
33,-9.97,160.59
33,-9.94,160.48
33,-9.76,160.69
33,-9.73,160.17
31,-10,160.77
63,-10.21,160.74
42,-10.31,160.74
53,-1.81,120.46
0,49.86,78.84
21,-14.02,-14.49
69,-22.91,-175.74
31,22.68,-45.11
109,-7.73,127.77
44,1.42,126.36
120,-56.17,-27.7
33,-53.82,158.84
37,16.86,122.39
48,-33.79,-179.58
17,-15.29,-173.07
3,-8.04,155.56
103,-56.11,-27.83
45,-10.58,161.35
53,-17.58,-174.39
